Product Name,Price,Stock,Product URL,Product Image URL,Date,Store Name
Placa video XFX Radeon RX 7900 XTX SPEEDSTER MERC 310 BLACK EDITION 24GB GDDR6 384-bit,"5.299,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/xfx-placa-video-xfx-radeon-rx-7900-xtx-speedster-merc-310-black-edition-24gb-gddr6-384-bit-4073767.html,https://static3.evomag.ro/img?file=products%2F4073%2F4073767%2Fplaca-video-xfx-radeon-rx-7900-63bab7768ec4a.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video MSI GeForce RTX 4070 Ti VENTUS 2X OC 12GB GDDR6X 192-bit DLSS 3.0,"4.729,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/msi-placa-video-msi-geforce-rtx-4070-ti-ventus-2x-oc-12gb-gddr6x-192-bit-dlss-3.0-4123317.html,https://static3.evomag.ro/img?file=products%2F4123%2F4123317%2Fplaca-video-msi-geforce-rtx-40-652949d89397d.png&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video MSI GeForce RTX 4060 Ti VENTUS 3X OC 8GB GDDR6 128-bit,"2.399,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/msi-placa-video-msi-geforce-rtx-4060-ti-ventus-3x-oc-8gb-gddr6-128-bit-4103602.html,https://static3.evomag.ro/img?file=products%2F4103%2F4103602%2Fplaca-video-msi-geforce-rtx-40-64a7b650c8c99.png&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video Sapphire NITRO+ Radeon RX 7900 XT Vapor-X 20GB GDDR6 320-bit,"4.958,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/sapphire-placa-video-sapphire-nitro-radeon-rx-7900-xt-vapor-x-20gb-gddr6-320-bit-4073769.html,https://static3.evomag.ro/img?file=products%2F4073%2F4073769%2Fplaca-video-sapphire-nitro-ra-63baba356b904.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video GIGABYTE GeForce RTX 4070 Ti AORUS ELITE 12GB GDDR6X 192-bit DLSS 3.0,"5.250,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/gigabyte-placa-video-gigabyte-geforce-rtx-4070-ti-aorus-elite-12gb-gddr6x-192-bit-dlss-3.0-4074394.html,https://static3.evomag.ro/img?file=products%2F4074%2F4074394%2Frtx-4070-ti-elite-12gb-63bea84c2f33b.png&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video MSI GeForce RTX 4060 Ti GAMING X 8GB GDDR6 128-bit,"2.412,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/msi-placa-video-msi-geforce-rtx-4060-ti-gaming-x-8gb-gddr6-128-bit-4097276.html,https://static3.evomag.ro/img?file=products%2F4097%2F4097276%2Fplaca-video-msi-geforce-rtx-40-6475badcdcd67.png&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video GAINWARD GeForce RTX 4060 Ti Panther OC 16GB GDDR6 128-bit DLSS 3.0,"2.683,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/gainward-placa-video-gainward-geforce-rtx-4060-ti-panther-oc-16gb-gddr6-128-bit-dlss-3.0-4113309.html,https://static3.evomag.ro/img?file=products%2F4113%2F4113309%2Fplaca-video-gainward-geforce-r-64e890e6ad28b.png&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video GIGABYTE GeForce RTX 4060 Ti WINDFORCE OC 16GB GDDR6 128-bit DLSS 3.0,"2.567,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/gigabyte-placa-video-gigabyte-geforce-rtx-4060-ti-windforce-oc-16gb-gddr6-128-bit-dlss-3.0-4122687.html,https://static3.evomag.ro/img?file=products%2F4122%2F4122687%2Fplaca-video-gigabyte-geforce-r-652524889294d.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video PALIT GeForce RTX 4060 Ti StormX 8GB GDDR6 128-bit,"2.147,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/palit-placa-video-palit-geforce-rtx-4060-ti-stormx-8gb-gddr6-128-bit-4103373.html,https://static3.evomag.ro/img?file=products%2F4103%2F4103373%2Fplaca-video-palit-geforce-rtx-64a5752111528.png&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video GIGABYTE GeForce RTX 4060 Ti GAMING OC 16GB GDDR6 128-bit DLSS 3.0,"2.699,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/gigabyte-placa-video-gigabyte-geforce-rtx-4060-ti-gaming-oc-16gb-gddr6-128-bit-dlss-3.0-4108260.html,https://static3.evomag.ro/img?file=products%2F4108%2F4108260%2Fplaca-video-gigabyte-geforce-r-64c254f5dc1c6.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video GIGABYTE GeForce RTX 4060 Ti WINDFORCE OC 8GB GDDR6 128-bit DLSS 3.0,"2.399,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/gigabyte-placa-video-gigabyte-geforce-rtx-4060-ti-windforce-oc-8gb-gddr6-128-bit-dlss-3.0-4108641.html,https://static3.evomag.ro/img?file=products%2F4108%2F4108641%2Fplaca-video-gigabyte-geforce-r-64c77cc5aaf1e.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video ASRock Radeon RX 6400 Challenger ITX 4GB GDDR6 64-bit,"745,99 Lei",In stoc depozit,https://www.evomag.ro/componente-pc-gaming-placi-video/asrock-placa-video-asrock-radeon-rx-6400-challenger-itx-4gb-gddr6-64-bit-3926722.html,https://static3.evomag.ro/img?file=products%2F3926%2F3926722%2Fplaca-video-asrock-radeon-rx-6-6283a7b6205cb.png&height=600&width=600&extend=white,2024-01-05,evoMAG
